1001,富豪東方酒店,,2009,九龍九龍城沙浦道30-38號富豪東方酒店,"Regal Oriental Hotel, 30-38 Sa Po Road, Kowloon City, Kowloon",0,0,27180333,roh.info@regalhotel.com,494,07:00 - 23:00,24 Hours,24 Hours,4/1/2022 18:53,1,NULL
1002,君立酒店,,2008,"九龍九龍灣宏光道15號地庫-地下(部份), 1-6字樓, 天台及天台高層(部份)","15 Wang Kwong Road, Kowloon Bay, Kowloon - Basement-G/F (Part), 1-6/F, Roof and Roof Upper Floor (Part)",0,0,25932828,info@camluxhotel.com,185,07:00 - 23:00,24 Hours,24 Hours,4/1/2022 18:53,1,NULL
1003,聖地牙哥酒店,,2007,九龍佐敦吳松街169-189號,"169-189 Wu Chung Street, Jordan, Kowloon",0,0,27371111,emily_2000@nevigator.com,122,07:00 - 23:00,24 Hours,24 Hours,4/1/2022 18:53,1,NULL
1004,豪境酒店,,2007,九龍佐敦吳松街92-94號2-12字樓,"2-12/F, 92-94 Wu Chung Street, Jordan, Kowloon",0,0,23322020,reservation@goodrichhotel.com.hk,56,07:00 - 23:00,24 Hours,24 Hours,4/1/2022 18:53,1,NULL
1005,零距府邸．佐敦,,2007,"九龍佐敦廟街129號地下-3字樓,5-13字樓,15-19字樓及天台","G/F-3/F, 5-13/F, 15-19/F and Roof, 129 Temple Street, Jordan, Kowloon",0,0,90319024,admin@linko-living.com,37,07:00 - 23:00,24 Hours,24 Hours,4/1/2022 18:53,1,NULL
1006,香港麗思卡爾頓酒店,,2007,九龍佐敦柯士甸道西1號地庫1字樓-地下部分、3字樓部分、8-9字樓部分、M4-3字樓部分&102-118字樓,"1/F, Basement, 1 Austin Road West, Jordan, Kowloon - G/F, 3/F, 8-9/F, M4-3/F & 102-118/F",0,0,22632263,rc.hkgkw.enqulrles@ritzcarlton.com,306,07:00 - 23:00,24 Hours,24 Hours,4/1/2022 18:53,1,NULL
1007,峰景軒,,2005,九龍何文田文福道5號,"5 Man Fook Road, Homantin, Kowloon",0,0,27001688,summitview@yhk.com.hk,171,07:00 - 23:00,24 Hours,24 Hours,4/1/2022 18:53,1,NULL
1008,香港九龍維景酒店,,2005,九龍何文田窩打老道75號,"75 Waterloo Road, Homantin, Kowloon",0,0,27611711,eo.hkkl@metroparkhotels.com,487,07:00 - 23:00,24 Hours,24 Hours,4/1/2022 18:53,1,NULL
1009,富薈馬頭圍酒店,,2023,"九龍土瓜灣下鄉道8號地庫-3字樓,5-12字樓,15-23字樓,天台及天台高層","Basement-3/F, 5-12/F, 15-23/F, Roof and Roof Top Floor, No. 8 Ha Heung Road, To Kwa Wan, Kowloon",0,0,39636600,info@matauwai.iclub-hotels.com,340,07:00 - 23:00,24 Hours,24 Hours,4/1/2022 18:53,1,NULL
1010,儷賀酒店,,2023,"九龍土瓜灣譚公道103號地下-1字樓,2字樓(部份),3字樓,5-12字樓,15-20字樓及天台","G/F-1/F, 2/F (Part), 3/F, 5-12/F, 15-20/F and Roof, 103 Tam Kung Road, To Kwa Wan, Kowloon",0,0,21571470,hello@weave-living.com,99,07:00 - 23:00,24 Hours,24 Hours,4/1/2022 18:53,1,NULL
