1005,香港仔郊野公園,Aberdeen Country Park,,1003,香港仔郊野公園,Aberdeen Country Park,1823,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cou/cou_vis_cou.html,null,24 Hours,24 Hours,24 Hours,22.25944543,114.1665128,NOW(),1
1006,香港仔樹木廊,Aberdeen Tree Centre,,1003,南區香港仔水塘道,"Aberdeen Reservoir Road, Southern",2555 2179,http://www.afcd.gov.hk/english/country/cou_lea/cou_lea_ven/aberdeen.html,null,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30,22.25398127,114.1593535,NOW(),1
1007,鴨脷洲公園,Ap Lei Chau Park,,1002,香港香港仔鴨脷洲大街,"Ap Lei Chau Main Street, Aberdeen, Hong Kong",2555 1268,null,null,24 Hours,24 Hours,24 Hours,22.24512201,114.1578752,NOW(),1
1008,鴨脷洲體育館,Ap Lei Chau Sports Centre,,1002,鴨脷洲洪聖街8號,"8 Hung Shing Street, Apleichau",null,http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html,null,24 Hours,24 Hours,24 Hours,22.24448,114.15542,NOW(),1
1009,鴨脷洲海濱長廊,Ap Lei Chau Waterfront Promenade,,1002,香港鴨脷洲平瀾街,"Ping Lan Street, Ap Lei Chau, Hong Kong",2555 1268,null,null,24 Hours,24 Hours,24 Hours,22.2448246,114.1554384,NOW(),1
1010,鴨脷洲風之塔公園,Ap Lei Chau Wind Tower Park,,1002,香港鴨脷洲利枝道,"Lei Chi Road, Ap Lei Chau, Hong Kong",2555 0103,null,null,24 Hours,24 Hours,24 Hours,22.24461204,114.152958,NOW(),1
1011,大浪灣泳灘,Big Wave Bay Beach,,1018,石澳大浪灣道,"Big Wave Bay Road, Shek O",null,http://www.lcsd.gov.hk/en/beach/index.html,null,24 Hours,24 Hours,24 Hours,22.24644271,114.2469801,NOW(),1
1012,蝴蝶灣泳灘,Butterfly Beach,,3021,屯門龍門路,"Lung Mun Road, Tuen Mun",null,http://www.lcsd.gov.hk/en/beach/index.html,null,24 Hours,24 Hours,24 Hours,22.37280492,113.9564585,NOW(),1
1013,青山灣泳灘,Castle Peak Beach,,3021,屯門青山公路-青山灣段,"Castle Peak Road-Castle Peak Bay, Tuen Mun",null,http://www.lcsd.gov.hk/en/beach/index.html,null,24 Hours,24 Hours,24 Hours,22.37938854,113.9798766,NOW(),1
1014,中西區海濱長廊-上環段,Central & Western District Promenade-Sheung Wan Section,,1005,上環中港道,"Chung Kong Road, Sheung Wan",2540 9704,null,null,24 Hours,24 Hours,24 Hours,22.28924856,114.149748,NOW(),1
1015,中葵涌公園,Central Kwai Chung Park,,3003,葵涌新葵街,"San Kwai Street, Kwai Chung",null,http://www.lcsd.gov.hk/en/ls_park.php,null,24 Hours,24 Hours,24 Hours,22.35719612,114.1329246,NOW(),1
1016,中環碼頭海濱長廊,Central Pier Waterfront,,1005,中環民光街,"Man Kwong Street, Central",2853 2573,null,null,24 Hours,24 Hours,24 Hours,22.28733541,114.1589678,NOW(),1
1017,柴灣公園,Chai Wan Park,,1006,柴灣翠灣街柴灣公園,"Chai Wan Park, Tsui Wan Street, Chai Wan",null,http://www.lcsd.gov.hk/parks/cwp/en/index.html,null,24 Hours,24 Hours,24 Hours,22.26627749,114.2384869,NOW(),1
1018,長洲東灣泳灘,Cheung Chau Tung Wan Beach,,4002,長洲東堤路,"Cheung Chau Beach Road, Cheung Chau",null,http://www.lcsd.gov.hk/en/beach/index.html,null,24 Hours,24 Hours,24 Hours,22.20933032,114.0307305,NOW(),1
1019,創興水上活動中心,Chong Hing Water Sports Centre,,3010,新界西貢萬宜水庫西壩,"High Island Reservoir, Sai Kung",null,http://www.lcsd.gov.hk/en/watersport/index.html,null,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,22.37654568,114.3361015,NOW(),1
1020,舂坎角泳灘,Chung Hom Kok Beach,,1020,舂坎角舂坎角道,"Chung Hom Kok Road, Chung Hom Kok",null,http://www.lcsd.gov.hk/en/beach/index.html,null,24 Hours,24 Hours,24 Hours,22.21779609,114.2021178,NOW(),1
1021,清水灣泳灘,Clear Water Bay First Beach,,3010,西貢大環頭清水灣道,"Tai Wan Tau, Clear Water Bay Road, Sai Kung",null,http://www.lcsd.gov.hk/en/beach/index.html,null,24 Hours,24 Hours,24 Hours,22.29113201,114.2910731,NOW(),1
1022,文物修復資源中心,Conservation Resource Centre,,2024,香港九龍尖沙咀東部漆咸道南一百號香港歷史博物館二樓二零二室,"Room 202, 2/F, Hong Kong Museum of History, 100 Chatham Road South, Tsim Sha Tsui East, Kowloon, Hong Kong",null,https://www.lcsd.gov.hk/CE/Museum/Conservation/en_US/web/co/resource_centre.html,null,24 Hours,24 Hours,24 Hours,22.30174526,114.1774081,NOW(),1
1023,歌和老街公園,Cornwall Street Park,,2020,九龍塘歌和老街17號,"17 Cornwall Street, Kowloon Tong, Kowloon",null,null,null,24 Hours,24 Hours,24 Hours,22.33887904,114.1739903,NOW(),1
1024,深水灣泳灘,Deep Water Bay Beach,,1014,深水灣香島道,"Island Road, Deep Water Bay",null,http://www.lcsd.gov.hk/en/beach/index.html,null,24 Hours,24 Hours,24 Hours,22.24448699,114.1877082,NOW(),
1025,思高路花園,Don Bosco Road Garden,,4002,長洲思高路,"Don Bosco Road, Cheung Chau",2852 3220,null,null,24 Hours,24 Hours,24 Hours,22.20311771,114.035859,NOW(),1
1026,孫中山紀念館,Dr Sun Yat-sen Museum,,1005,中環半山衛城道7號,"7 Castle Road, Mid-Levels, Central",null,http://www.lcsd.gov.hk/CE/Museum/sysm/en/index.php,null,24 Hours,24 Hours,24 Hours,22.2820835,114.1507528,NOW(),1
1027,東岸公園 (第一期),East Coast Park (Phase 1),,1004,銅鑼灣屈臣道,"Watson Rd, Causeway Bay",2879 5612,null,null,24 Hours,24 Hours,24 Hours,22.28792912,114.1891845,NOW(),1
1028,葛量洪號滅火輪展覽館,Fireboat Alexander Grantham Exhibition Gallery,,1013,鰂魚涌公園,"Quarry Bay Park, Quarry Bay",null,http://www.lcsd.gov.hk/CE/Museum/History/en/fbag.php,null,24 Hours,24 Hours,24 Hours,22.28927749,114.2191445,NOW(),1
1029,茶具文物館,Flagstaff House Museum of Tea Ware,,1005,中區紅棉路10號,"10 Cotton Tree Drive, Central",null,http://www.lcsd.gov.hk/CE/Museum/Arts/en_US/web/ma/tea-ware.html,null,24 Hours,24 Hours,24 Hours,22.27854495,114.1624749,NOW(),1
1030,鳳德公園,Fung Tak Park,,2026,九龍黃大仙鳳德道42號,"42, Fung Tak Road, Wong Tai Sin, Kowloon",null,null,null,24 Hours,24 Hours,24 Hours,22.34238515,114.1980553,NOW(),1
1031,告士打道花園,Gloucester Road Garden,,1025,灣仔告士打道,"Gloucester Road, Wan Chai",null,null,null,24 Hours,24 Hours,24 Hours,22.27978051,114.1724089,NOW(),1
1032,鹹田灣營地,Ham Tin Wan Campsite,,3010,西貢西貢東郊野公園咸田灣,"Ham Tin Wan, Sai Kung East Country Park, Sai Kung",1823,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_40_HamTinWan.html,null,24 Hours,24 Hours,24 Hours,22.40962285,,NOW(),1
1033,坑口花園,Hang Hau Garden,,3018,新界將軍澳坑口田洲路,"Tin Chau Road, Hang Hau, Tseung Kwan O. N.T.",2791 3112,null,null,24 Hours,24 Hours,24 Hours,22.31462998,114.2688944,NOW(),1
