1007,海都酒家,Victoria City Restaurant,1001,香港金鐘 添美道1號中信大廈5樓,"5/F., CITIC TOWER, 1 TIM MEI AVENUE, ADMIRALTY, HONG KONG",0,0,12345678,restaurant@gmail.com,100,12:00 - 12:00,12:00 - 12:00,12:00 - 12:00,3/22/2022 20:59,1,NULL
1008,港島香格里拉大酒店,ISLAND SHANGRI-LA HOTEL,1001,香港金鐘道88號 港島香格里拉大酒店第5層部份及第6層,"PTNS. OF LEVEL 5 & LEVEL 6, ISLAND SHANGRI-LA HOTEL, 88 QUEENSWAY, CENTRAL, HONG KONG",0,0,12345678,restaurant@gmail.com,100,12:00 - 12:00,12:00 - 12:00,12:00 - 12:00,3/22/2022 20:59,1,NULL
1009,港島香格里拉大酒店,ISLAND SHANGRI-LA HOTEL,1001,香港金鐘道88號 港島香格里拉大酒店 第7層(部份)及第8層,"LEVEL 7 (PTN) & LEVEL 8, ISLAND SHANGRI-LA HOTEL, 88 QUEENSWAY, CENTRAL, HONG KONG",0,0,12345678,restaurant@gmail.com,100,12:00 - 12:00,12:00 - 12:00,12:00 - 12:00,3/22/2022 20:59,1,NULL
1010,港島香格里拉大酒店,ISLAND SHANGRI-LA HOTEL,1001,"香港金鐘道88號 港島香格里拉大酒店 3,5,6及39部份","PTN. OF 3,5,6 &39, ISLAND SHANGRI-LA HOTEL, 88 QUEENSWAY, CENTRAL, HONG KONG",0,0,12345678,restaurant@gmail.com,100,12:00 - 12:00,12:00 - 12:00,12:00 - 12:00,3/22/2022 20:59,1,NULL
1011,美心香港地,Maxim's Hong Kong Day,1001,香港金鐘夏慤道16號遠東金融中心地下上層A6-2號舖,"SHOP A6-2, UG/F., FAR EAST FINANCE CENTRE, 16 HARCOURT ROAD, ADMIRALTY, HONG KONG",0,0,12345678,restaurant@gmail.com,100,12:00 - 12:00,12:00 - 12:00,12:00 - 12:00,3/22/2022 20:59,1,NULL
1012,翡翠拉麵小籠包,Crystal Jade La Mian Xiao Long Bao,1001,香港金鐘金鐘道93號金鐘廊1樓E01-06號舖,"SHOP NOS. E01-06, 1/F., QUEENSWAY PLAZA, 93 QUEENSWAY, ADMIRALTY, HONG KONG",0,0,12345678,restaurant@gmail.com,100,12:00 - 12:00,12:00 - 12:00,12:00 - 12:00,3/22/2022 20:59,1,NULL
1013,高等法院餐廳,High Court Canteen,1001,香港金鐘道38號高等法院一樓(部份),"1/F (PORTION), HIGH COURT BUILDING, 38 QUEENSWAY, HONG KONG",0,0,12345678,restaurant@gmail.com,100,12:00 - 12:00,12:00 - 12:00,12:00 - 12:00,3/22/2022 20:59,1,NULL
1014,高美食店,ISLAND GOURMET,1001,香港金鐘道88號 港島香格里拉大酒店第5層A舖,"SHOP A, LEVEL 5, ISLAND SHANGRI-LA HOTEL, 88 QUEENSWAY, CENTRAL, HONG KONG",0,0,12345678,restaurant@gmail.com,100,12:00 - 12:00,12:00 - 12:00,12:00 - 12:00,3/22/2022 20:59,1,NULL
1015,麵全食,All In Noodles,1001,香港金鐘金鐘道93號 金鐘廊1樓E07-08號,"SHOP NOS. E07-08, 1/F., QUEENSWAY PLAZA, 93 QUEENSWAY, ADMIRALTY, HONG KONG",0,0,12345678,restaurant@gmail.com,100,12:00 - 12:00,12:00 - 12:00,12:00 - 12:00,3/22/2022 20:59,1,NULL
1016,一團,Sweet Castle,1002,香港鴨脷洲大街43號地下舖,"G/F., 43 AP LEI CHAU MAIN STREET, HONG KONG",0,0,12345678,restaurant@gmail.com,100,12:00 - 12:00,12:00 - 12:00,12:00 - 12:00,3/22/2022 20:59,1,NULL
